Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Date added / updated,Logo Image,Target locations hide,Regions,Regions 2,Sector,Units (min),Units (max),Contact,Phone,Website,email,Recent planning application,Application 1 - Link to planning application,Application 1 - LPA of the application,Application 1 - no. of dwellings,Applicattion 1 - Date,Contact linkedin,Link to recent planning applications
Archway Homes,archway-homes,63c82b7a254c065170a9ee94,66604dd0af4107282977048d,Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd0af4107282977046f_65e9a30211295385f96f465e_658179e60583e42958718b54_64946857fd417350336541d5_Archway%25252520Homes%25252520Logo.jpeg,,"North East, Midlands",north-east; midlands,Residential,10,50,Rachael Whelan (Land Director),,https://www.archwayhomes.co.uk/land-enquiries,Rachael.Whelan@archwayhomes.co.uk,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Archway+Homes
Ashdrew Homes,ashdrew-homes,63c82b7a254c065170a9ee94,66604dd0088baaeca8ed1365,Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd0088baaeca8ed135b_65e9a302e8d5e8555335014d_658179e62ee5738fa6f887ab_64946857fd417350336541dd_Ashdrew%25252520Logo.png,,"South West, South East",south-west; south-east,Residential,5,20,Paul Bloomfield (Land Development Manager),01202 310200,https://www.ashdrewhomes.co.uk/land-required/,paul.bloomfield@ashdrewhomes.co.uk,false,,,,,https://www.linkedin.com/in/paul-bloomfield-b49a6410/,https://www.planninglist.co.uk/sectors/residential?*=Ashdrew+Homes
Ashgrove Homes,ashgrove-homes,63c82b7a254c065170a9ee94,66604dd05a35fe8c02da2605,Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd05a35fe8c02da25e2_65e9a302ae50354afcef8298_658179e68769b1abc5fa0807_64946857fd417350336541cd_Ashgrove%25252520Homes%25252520Logo.jpeg,,"London, South East",london; south-east,Residential,25,100,Chris Fry (Development Director),,https://www.ashgrovehomes.com/land,rturner@ashgrovehomes.com,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Ashgrove+Homes
Ashill Urban,ashill-urban,63c82b7a254c065170a9ee94,66604dd02cd732f960a8c0c1,Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd02cd732f960a8c0ad_65e9a3022dbd91496622d101_658179e62b404f4f37dd8112_64946857fd417350336541cf_Ashill%25252520Urban%25252520logo.jpeg,,South East,south-east,Residential,10,150,Ben Boyce (Director),,http://ashillgroup.co.uk/track/,bb@ashillgroup.co.uk,false,,,,,https://www.linkedin.com/in/ben-boyce-0516b418/,https://www.planninglist.co.uk/sectors/residential?*=Ashill
Ashwood Homes,ashwood-homes,63c82b7a254c065170a9ee94,66604dd01e5541b72e81c049,Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd01e5541b72e81c026_65e9a302123fcba99456efdc_658179e7206eb252fe5d5c7d_64946857fd417350336541ca_Ashwood%25252520Homes.jpeg,SouthHolland,Midlands,midlands,Residential,10,50,Barrie Gibson (Development Director),,https://ashwoodhomes.co/land-acquisition/,barrie.gibson@ashwoodhomes.co,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Ashwood+Homes
Aspen Homes,aspen-homes,63c82b7a254c065170a9ee94,66604dd06c41f542151cfb4f,Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd06c41f542151cfb44_65e9a3025368fec6f2e0c67c_658179e766fcfa4580f5e126_64946857fd417350336541cb_Aspen%25252520Homes%25252520Logo.png,,South East,south-east,Residential,5,25,Sean Moore (Development Manager),,https://aspen-homes.co.uk/land-required/,sean@aspen-homes.co.uk,false,,,,,https://www.linkedin.com/in/sean-moore-68501394/,https://www.planninglist.co.uk/sectors/residential?*=Aspen+Homes
Autograph Homes,autograph-homes,63c82b7a254c065170a9ee94,66604dd017698ed3d517b4ac,Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:48 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd017698ed3d517b4a0_65e9a303982cb52b8df68648_658179e72b293fa046f2d047_64946857fd417350336541d0_Autograph%25252520Homes%25252520logo.png,,South West,south-west,Residential,5,25,Richard Clarke (Land Manager),,https://www.autograph-homes.co.uk/land-opportunities,richard.clarke@autograph-homes.co.uk,false,,,,,https://www.linkedin.com/in/richard-clarke-b31902155/,https://www.planninglist.co.uk/sectors/residential?*=Autograph+Homes
Avant Homes,avant-homes,63c82b7a254c065170a9ee94,66604dd1c4cb3b1e9849403d,Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd1c4cb3b1e98494037_65e9a303383bcc30e24f1bc6_658179e80e13f32fb4f7f17f_64946857fd417350336541dc_Avant%25252520Homes.png,"Wakefield, South Lanarkshire, Leeds","North West, North East",north-east; north-west,Residential,50,250,Lindsay Ramsden (Group Strategic Land Director),7587135855,https://www.avanthomes.co.uk/land-enquiry,lindsay.ramsden@avanthomes.co.uk,true,https://planning.rotherham.gov.uk/fastweblive/fulldetail.asp?AltRef=RB2023/1033&Scroll=2&ApplicationNumber=&AddressPrefix=&Postcode=&CaseOfficer=&ParishName=&AreaTeam=&WardMember=&Consultant=&DateReceivedStart=14%2F07%2F2023&DateReceivedEnd=03%2F08%2F2023&DateDecidedStart=&DateDecidedEnd=&Locality=&AgentName=&ApplicantName=&DecisionDescription=&DecisionLevel=&Sort1=FullAddressPrefix&Sort2=DateReceived+DESC&Submit=Search,Rotherham,25,Thu Jul 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/lindsay-ramsden-34b67699/,https://www.planninglist.co.uk/sectors/residential?*=Avant+Homes
Avon Homes,avon-homes,63c82b7a254c065170a9ee94,66604dd11a208fbbff6d1157,Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd11a208fbbff6d1151_65e9a303f3cabdc9f1a1ad1e_658179e87cd2777813ed3dbb_64946857fd417350336541eb_Avon%25252520Homes.jpeg,StratfordOnAvon,"Midlands, South West",midlands; south-west,Residential,5,25,Paul Tarn (Property Development),,https://www.avonhomes.co.uk/land-acquisition,paul.tarn@avonhomes.co.uk,false,,,,,https://www.linkedin.com/in/paul-tarn-baa5bb5a/,https://www.planninglist.co.uk/sectors/residential?*=Avon+Homes
Backhouse Housing,backhouse-housing,63c82b7a254c065170a9ee94,66604dd1196d6207729a38f7,Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd1196d6207729a38eb_65e9a303e8d5e855533501c2_658179e8ae55375385eff6e9_64c251a272e97a702d290636_Backhouse%25252520Housing.jpeg,,South West; South East,south-east; south-west,,50,150,Stuart Walter (Land),,https://www.backhousehousing.com/land-acquisition/,stuart.walter@backhousehousing.com,true,https://development.wiltshire.gov.uk/pr/s/planning-application/a0i3z00001AazguAAB/pl202303573,Wiltshire,102,Wed May 31 2023 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/stuart-walter-b08284114/,https://www.planninglist.co.uk/sectors/residential?*=Backhouse+Housing
Baddow Estates,baddow-estates,63c82b7a254c065170a9ee94,66604dd16e267f2088640cb9,Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd16e267f2088640caa_65e9a3038c240d7313a71be4_658179e881322879a8dbc8ce_64946857fd417350336541de_Baddow%25252520Estates%25252520Logo.png,,"South West, South East",south-west; south-east,Residential,5,25,Mike Pennock (Founder),,https://www.baddowestates.co.uk/immediate-land-requirements-planning-permission-bristol,info@baddowestates.co.uk,false,,,,,https://www.linkedin.com/in/mike-pennock/,https://www.planninglist.co.uk/sectors/residential?*=Baddow+Estates
Badger Building,badger-building,63c82b7a254c065170a9ee94,66604dd1155b1f7297741c1d,Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd1155b1f7297741bd6_65e9a3036ce317053d0af487_658179e98769b1abc5fa09c8_64946857fd417350336541c1_Badger%25252520Building.jpeg,,"South East, Midlands",south-east; midlands,Residential,5,25,Simon Muirhead (Director),,https://www.badgerbuilding.co.uk/land-purchasing/,Simon@badgerbuilding.co.uk,false,,,,,https://www.linkedin.com/in/simon-muirhead-6b7978133/,https://www.planninglist.co.uk/sectors/residential?*=Badger+Building
Ballymore,ballymore,63c82b7a254c065170a9ee94,66604dd142c4564b25fd5e56,Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue May 07 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd142c4564b25fd5e3e_65e9a3038c1767c3ea7b13b6_658179e96d3f9aec8a080e97_64946857fd417350336541cc_Ballymore.png,,"London, Midlands, North East, North West, Scotland, South East, South West, Wales",london; midlands; north-east; north-west; scotland; south-east; south-west; wales,"Residential, Commercial",50,500,Richard Pearce (Development Manager),,https://www.ballymoregroup.com/residential,RPearce@ballymoregroup.com,true,https://pa.newham.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=SA6WK7JY5W100,Newham,1700,Wed Mar 27 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/richard-pearce-a5142741/,https://www.planninglist.co.uk/sectors/residential?*=Ballymore
Balson Homes,balson-homes,63c82b7a254c065170a9ee94,66604dd12548322c8b30deeb,Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:49 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd12548322c8b30ded4_65e9a3031699e0c717415ca5_658179e921862a981fb5d918_64946857fd417350336541ce_Balson%25252520Homes%25252520logo.png,,South East,south-east,Residential,5,15,Daniel Balson (Director),,https://www.balsonhomes.co.uk/land-wanted/,daniel.balson@balsonhomes.co.uk,false,,,,,https://www.linkedin.com/in/daniel-balson-3aaa66124/,https://www.planninglist.co.uk/sectors/residential?*=Balson+Homes
Banks Group,banks-group,63c82b7a254c065170a9ee94,66604dd279566d9f13397308,Wed Jun 05 2024 11:36:50 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:50 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd279566d9f13397289_65e9a30302d9e9548a57b90b_658179ea6bbf7deaf2eb22c9_64946857fd417350336541d3_Banks%25252520Group%25252520Logo.jpeg,,"Scotland, North East, Midlands",scotland; north-east; midlands,Residential,50,500,,,https://www.banksgroup.co.uk/property/,,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Banks+Group
Bargate Homes,bargate-homes,63c82b7a254c065170a9ee94,66604dd2714ac559ebe3a055,Wed Jun 05 2024 11:36:50 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:50 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd2714ac559ebe3a04f_65e9a3033856efb0b1b5e690_658179e9561f8f93c3fd518f_64946857fd417350336541d1_Bargate%25252520Homes.png,"New Forest, Havant, East Hampshire",South East,south-east,Residential,50,110,Steve Birch (Land Director),7768003756,https://www.bargatehomes.co.uk/why-bargate/,steve@bargatehomes.co.uk,false,,,,,https://www.linkedin.com/in/steve-birch-a093b246/,https://www.planninglist.co.uk/sectors/residential?*=Bargate+Homes
Barnfield Construction,barnfield-construction,63c82b7a254c065170a9ee94,66604dd26e267f2088640d95,Wed Jun 05 2024 11:36:50 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:50 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd26e267f2088640d4b_65e9a304f12c1825b4cdc061_658179e96a28387a231cb274_64946857fd417350336541c6_barnfieldconstruction.jpeg,,North West,north-west,Residential,50,250,Tracy Clavell-Bate (Head of Devlopement),,https://www.barnfieldconstruction.co.uk/portfolio-developments/harrison-drive-colne/,Tracy.Clavell-Bate@barnfieldconstruction.co.uk,false,,,,,https://www.linkedin.com/in/tracy-clavell-bate-a93a67151/,https://www.planninglist.co.uk/sectors/residential?*=Barnfield+Construction
Barratt Homes,barratt-homes,63c82b7a254c065170a9ee94,66604dd2bdca926c1d65af8a,Wed Jun 05 2024 11:36:50 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:50 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd2bdca926c1d65af72_65e9a304678f2e14015efde5_658179eba229aefed9aaeb4f_64946857fd417350336541c2_Barratt%25252520Homes.jpeg,"Chichester, York, Rushcliffe, Havant, East Riding, Harrogate, Mid Kent, Wellingborough, Isle Of Wight, Rushcliffe, Wiltshire, Wyre Forest","London, Midlands, North East, North West, Scotland, South East, South West, Wales",london; midlands; north-east; north-west; scotland; south-east; south-west; wales,Residential,50,2500,Philip Barnes (Group Land Director),1914933903,https://www.barrattdevelopments.co.uk/land/where-we-are-buying-land,philip.barnes@barrattplc.co.uk,false,,,,,https://www.linkedin.com/in/philip-barnes-70a44119/,https://www.planninglist.co.uk/sectors/residential?*=Barratt+Homes
Barwood Land,barwood-land,63c82b7a254c065170a9ee94,66604dd253ed6c06b8caff50,Wed Jun 05 2024 11:36:50 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:50 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd253ed6c06b8caff4a_65e9a3041e405a60c155b04f_658179eaf733d55be95603f4_64946857fd417350336541c3_Barwood%25252520Land%25252520Logo.png,,"London, Midlands, North East, North West, Scotland, South East, South West, Wales",london; midlands; north-east; north-west; scotland; south-east; south-west; wales,Residential,100,2500,Jamie Gibbons (MD),8701677621,https://www.barwoodland.co.uk/landowners/,jamie.gibbins@barwoodland.co.uk,false,,,,,https://www.linkedin.com/in/jamie-gibbins-ba323618/,https://www.planninglist.co.uk/sectors/residential?*=Barwood+Land
Beal Homes,beal-homes,63c82b7a254c065170a9ee94,66604dd2196d6207729a399a,Wed Jun 05 2024 11:36:50 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:50 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd2196d6207729a3990_65e9a3047b818d4c425aa069_658179eb0583e42958718ed1_64946857fd417350336541c8_Beal%25252520Homes%25252520Logo.png,WestLindsey,Midlands,midlands,Residential,50,150,Chris Murphy (Land Director),07966 197989,https://beal-homes.co.uk/land-wanted/#,chris.murphy@beal-homes.co.uk,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Beal+Homes
Beau Homes,beau-homes,63c82b7a254c065170a9ee94,66604dd389b8adaa4ce42bf7,Wed Jun 05 2024 11:36:51 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:51 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd289b8adaa4ce42be1_65e9a3048e154fd9be43ff45_658179eb13835057a0a6618a_64946857fd417350336541e3_Beau%25252520Property%25252520logo.jpeg,,South East,south-east,Residential,5,25,Chris Hammond (Director),,https://www.beauproperty.com/,chris@beauproperty.com,false,,,,,https://www.linkedin.com/in/chris-hammond-property/,https://www.planninglist.co.uk/sectors/residential?*=Beau+Homes
Belgrave Homes,belgrave-homes,63c82b7a254c065170a9ee94,66604dd323e1cf7393026a6d,Wed Jun 05 2024 11:36:51 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:51 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd323e1cf7393026a45_65e9a30472ccaeb71ee21d87_658179eb979712e464fe9527_64946857fd417350336541c4_Belgrave%25252520Homes%25252520logo.png,,South East,south-east,Residential,5,25,Simon Haskett (MD),,https://belgravehomes.com/land-wanted/,enquiries@belgravehomes.com,false,,,,,https://www.linkedin.com/in/simon-haskett-95b41483/,https://www.planninglist.co.uk/sectors/residential?*=Belgrave+Homes
Bellis Homes,bellis-homes,63c82b7a254c065170a9ee94,66604dd3e6172bc0dc3202f8,Wed Jun 05 2024 11:36:51 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:51 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd3e6172bc0dc3202ec_65e9a3040bcc2df23f82a683_658179eb82d0273366d14c29_64946857fd417350336541d2_Bellis%25252520Homes.jpeg,,"London, South East",london; south-east,Residential,5,25,Henry Fordham (Partner),,http://www.bellishomes.co.uk/land-acquisitions/,info@bellishomes.co.uk,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Bellis+Homes
Bellway Homes,bellway-homes,63c82b7a254c065170a9ee94,66604dd32050468f12425c20,Wed Jun 05 2024 11:36:51 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:51 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd32050468f12425c14_65e9a3056b72bcc8b237ed4b_658179ec4d341b8e996d1cc8_64a2f3b7c53069b4f7362155_Bellway%25252520Homes.png,,UK,east-anglia; london; midlands; north-east; north-west; northern-ireland; scotland; south-east; south-west; wales,,50,1000,Stefan Briddon (Group Strategic Land Director),,https://www.bellwaystrategicland.co.uk/,stefan.briddon@bellway.co.uk,true,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RU1DZ5CRJ2K00,Basingstoke,32,Tue May 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/stefan-briddon-7828aa156/,https://www.planninglist.co.uk/sectors/residential?*=Bellway+Homes
